# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2060
#@/user_id	fcec34f3-dfd0-45c0-8899-0d6cff196569
a 	啊	c=33 d=5.49714 t=1984
a ba 	阿壩	c=1 d=1 t=134
ai 	愛	c=1 d=1.00169 t=1413
ai ai 	愛愛	c=0 d=0.1 t=153
ai le 	愛了	c=1 d=1 t=2049
ai qing 	愛情	c=3 d=1.53543 t=2010
ai yao bu yao 	愛要不要	c=1 d=1 t=598
an 	俺	c=2 d=1.06489 t=1379
an qing 	安慶	c=1 d=1 t=133
an shi 	暗示	c=2 d=1.956 t=931
an zhuang 	安裝	c=1 d=1 t=1256
ba 	八	c=2 d=1.93239 t=1429
ba 	吧	c=21 d=3.37459 t=1726
ba 	把	c=1 d=1 t=1518
bai 	白	c=2 d=1.03782 t=728
ban 	半	c=1 d=1 t=1871
ban 	版	c=1 d=1 t=1447
ban ben 	版本	c=1 d=1 t=1530
ban shang lai 	搬上來	c=1 d=1 t=986
bao bei 	寶貝	c=1 d=1 t=144
bao chi 	保持	c=1 d=1 t=957
bao fu 	報復	c=1 d=1 t=1990
bao fu 	暴富	c=1 d=1 t=1991
bei 	唄	c=1 d=1 t=1362
bei hai 	北海	c=1 d=1 t=135
ben lai 	本來	c=2 d=1.00563 t=1636
bi 	比	c=1 d=1 t=1622
bi jiao 	比較	c=1 d=1 t=43
bi ru 	比如	c=3 d=1.52221 t=1045
bi ye 	畢業	c=1 d=1 t=1972
bi yi 	鼻翼	c=1 d=1 t=1927
bi zi 	鼻子	c=1 d=1 t=138
bian 	遍	c=1 d=1 t=1465
bian tai 	變態	c=1 d=1 t=1563
biao 	標	c=1 d=1 t=346
biao xian 	表現	c=1 d=1 t=913
bie 	別	c=6 d=2.31861 t=1941
bie de 	別的	c=1 d=1 t=1621
bie ren 	別人	c=1 d=1 t=587
bie xiang 	別想	c=1 d=1 t=522
bo 	播	c=1 d=1 t=115
bu 	不	c=10 d=3.00677 t=1985
bu an 	不安	c=1 d=1 t=404
bu chu lai 	不出來	c=1 d=1 t=130
bu dai 	不帶	c=2 d=1.58275 t=1528
bu dai biao 	不代表	c=1 d=1 t=353
bu dao 	不到	c=1 d=1.09003 t=1968
bu dui 	部隊	c=1 d=1 t=419
bu fan fa 	不犯法	c=1 d=1 t=599
bu gei 	補給	c=1 d=1 t=593
bu hao 	不好	c=2 d=1.00441 t=2005
bu he jiu 	不喝酒	c=2 d=1.9802 t=1044
bu hui 	不會	c=3 d=1.3841 t=572
bu jiao 	不叫	c=1 d=1 t=1706
bu kai xin 	不開心	c=1 d=1 t=1312
bu le 	不了	c=1 d=1 t=632
bu mai 	不買	c=1 d=1 t=1960
bu neng 	不能	c=6 d=1.4414 t=1231
bu pa 	不怕	c=1 d=1 t=783
bu ran 	不然	c=1 d=1 t=917
bu shi 	不是	c=10 d=2.69648 t=2046
bu shu fu 	不舒服	c=1 d=1 t=21
bu tai 	不太	c=0 d=0.1 t=826
bu tai hai pa 	不太害怕	c=1 d=1 t=827
bu tong 	不同	c=0 d=0.1 t=1658
bu tong yong 	不同用	c=1 d=1 t=1659
bu xi huan 	不喜歡	c=1 d=1 t=214
bu xia 	不下	c=0 d=0.1 t=468
bu xiang 	不想	c=2 d=1.08586 t=1369
bu yao 	不要	c=2 d=1.66698 t=659
bu yi yang 	不一樣	c=1 d=1 t=258
bu yong 	不用	c=1 d=0.910584 t=1712
bu yong jiu 	不用就	c=1 d=1 t=1713
bu zhi dao 	不知道	c=8 d=1.44351 t=1675
bu zhong yao 	不重要	c=1 d=1 t=1746
bu zhuan 	不轉	c=1 d=1 t=162
bu zou 	步驟	c=1 d=1 t=39
ca 	擦	c=0 d=0.1 t=180
cai 	才	c=2 d=1.50158 t=1114
cao zuo 	操作	c=1 d=1 t=1117
cha 	茶	c=1 d=1 t=182
cha yi dian 	差一點	c=1 d=1 t=1565
chan 	饞	c=3 d=2.59147 t=1966
chao 	超	c=1 d=1 t=1289
che 	扯	c=1 d=1 t=1807
cheng 	成	c=1 d=1 t=1788
cheng xu yuan 	程序員	c=1 d=1 t=34
chi 	吃	c=3 d=1.17433 t=1567
chi fan 	吃飯	c=2 d=1.34301 t=360
chi wan fan 	吃完飯	c=1 d=1 t=1535
chi yi kou 	吃一口	c=1 d=1 t=272
chou cheng 	抽成	c=1 d=1 t=654
chou nan 	醜男	c=1 d=1 t=1146
chu 	出	c=1 d=1 t=191
chu fei 	除非	c=1 d=1 t=1152
chu lai 	出來	c=2 d=1.2466 t=1194
chu men 	出門	c=2 d=1.94042 t=1088
chu men ma 	出門嘛	c=1 d=1 t=410
chu qu 	出去	c=1 d=1 t=1375
chu xian 	出現	c=1 d=1 t=517
chuang shang 	牀上	c=1 d=1 t=1995
ci ji 	刺激	c=1 d=1 t=1028
cu 	粗	c=1 d=1 t=56
cuo 	錯	c=2 d=1.99005 t=69
cuo le 	錯了	c=2 d=1.95123 t=57
cuo luan 	錯亂	c=1 d=1 t=1477
da 	大	c=1 d=0.542639 t=1005
da 	打	c=2 d=1.1764 t=1522
da duo shu 	大多數	c=1 d=1 t=1169
da jia 	大家	c=1 d=1 t=1590
da jian 	搭建	c=1 d=1 t=1323
da lao 	大佬	c=4 d=1.18193 t=1419
da lu 	大陸	c=4 d=3.43078 t=1704
da rou pian 	大肉片	c=1 d=1 t=1006
da si 	打死	c=0 d=0.1 t=1515
da si ni 	打死你	c=1 d=1 t=1516
dai biao 	代表	c=0 d=0.1 t=352
dai dai 	帶帶	c=1 d=1 t=1408
dai ma 	代碼	c=2 d=2.04911 t=158
dai ni 	帶你	c=2 d=1.84366 t=1052
dai ti 	代替	c=1 d=1 t=1542
dan chun 	單純	c=1 d=1 t=1300
dan shi 	但是	c=10 d=2.25938 t=1743
dang qian 	當前	c=1 d=1 t=1265
dang zuo 	當作	c=1 d=1 t=1672
dao 	到	c=2 d=1.00266 t=1568
